CommandId	Path	Id	CanHaveBinding
ID_VIEW_NEW_SCHEDULE	View-Create-Schedules-Schedule/Quantities	33296	True
ID_VIEW_NEW_MATERIAL_TAKEOFF	View-Create-Schedules-Material Takeoff	3388	True
ID_VIEW_NEW_DRAWING_LIST	View-Create-Schedules-Drawing List	33631	True
ID_VIEW_NEW_NOTE_BLOCK	View-Create-Schedules-Note Block	33659	True
ID_NEW_VIEWLIST	View-Create-Schedules-View List	1075	True
ID_VOLUME_OF_INTEREST	View-Create-Scope Box	33519	True
ID_VIEW_NEW_SHEET	View-Sheet Composition-New Sheet	32958	True
ID_VIEW_PLACE_VIEW	View-Sheet Composition-View	33132	True
ID_OBJECTS_PLACE_TITLEBLOCK	View-Sheet Composition-Title Block	33806	True
ID_NEW_MATCHLINE	View-Sheet Composition-Matchline	33905	True
ID_VIEWPORT_ACTIVATE	View-Sheet Composition-Activate	33181	True
ID_VIEWPORT_ACTIVATE_BASE	View-Sheet Composition-Deactivate	33185	True
ID_WINDOW_CLOSE_HIDDEN	View-Windows-Close Hidden	33712	True
ID_WINDOW_NEW	View-Windows-Replicate	57648	True
ID_WINDOW_CASCADE	View-Windows-Cascade	57650	True
ID_WINDOW_TILE_VERT	View-Windows-Tile	57652	True
ID_SHOW_VIEWCUBE	View-Windows-User Interface-ViewCube	35458	True
ID_NAVIGATION_BAR	View-Windows-User Interface-Navigation Bar	35631	True
ID_VIEW_PROJECTEXPLORER	View-Windows-User Interface-Project Browser	32957	True
ID_VIEW_STATUS_BAR	View-Windows-User Interface-Status Bar	59393	True
ID_STARTUP_PAGE	View-Windows-User Interface-Recent Files	35364	True
ID_BROWSER_ORGANIZATION	View-Windows-User Interface-Browser Organization	33904	True
ID_KEYBOARD_SHORTCUT_DIALOG	View-Windows-User Interface-Keyboard Shortcuts	49211	True
ID_EDIT_DESIGNOPTIONS	Manage-Design Options-Design Options	33907	True
ID_EDIT_ADDTODESIGNOPTIONSET	Manage-Design Options-Add to Set	33908	True
ID_EDIT_PICKS_OPTION	Manage-Design Options-Pick to Edit	33910	True
ID_LINKED_DWG	Manage-Manage Project-Manage Links	33279	True
ID_SETTINGS_PHASES	Manage-Manage Project-Phases	33472	True
ID_SETTINGS_FILLPATTERNS	Manage-Project Settings-Settings-Fill Patterns	33163	True
ID_SETTINGS_RENDERING_APPEARANCE	Manage-Project Settings-Settings-Material Libraries	33186	True
ID_SETTINGS_OBJECTSTYLES	Manage-Project Settings-Settings-Object Styles	32947	True
ID_SETTINGS_ANALYSIS_DISPLAY_STYLES	Manage-Project Settings-Settings-Analysis Display Styles	32948	True
ID_SETTINGS_REVISIONS	Manage-Project Settings-Settings-Sheet Issues/Revisions	3153	True
ID_SETTINGS_LINE_STYLES	Manage-Project Settings-Settings-Line Styles	33360	True
ID_SETTINGS_PENS	Manage-Project Settings-Settings-Line Weights	32946	True
ID_SETTINGS_PEN_FONTS	Manage-Project Settings-Settings-Line Patterns	33120	True
ID_SETTINGS_HALFTONE	Manage-Project Settings-Settings-Halftone / Underlay	49786	True
ID_SETTINGS_SUNANDSHADOWSSETTINGS	Manage-Project Settings-Settings-Sun and Shadows Settings	12299	True
ID_VIEWTAGSTYLES_CALLOUTTAGS	Manage-Project Settings-Settings-Callout Tags	3167	True
ID_VIEWTAGSTYLES_ELEVATIONTAGS	Manage-Project Settings-Settings-Elevation Tags	3168	True
ID_VIEWTAGSTYLES_SECTIONTAGS	Manage-Project Settings-Settings-Section Tags	3169	True
ID_SETTINGS_ANNOTATIONS_LEADERS	Manage-Project Settings-Settings-Arrowheads	33349	True
ID_SETTINGS_SNAPPING	Manage-Project Settings-Settings-Snaps	32949	True
ID_SETTINGS_DIMENSIONS	Manage-Project Settings-Settings-Temporary Dimensions	33100	True
ID_DETAIL_LEVEL	Manage-Project Settings-Settings-Detail Level	33384	True
ID_SETTINGS_MATERIALS	Manage-Project Settings-Materials	33184	True
ID_SETTINGS_PROJECT_INFORMATION	Manage-Project Settings-Project Information	33543	True
ID_SETTINGS_PROJECT_PARAMETERS	Manage-Project Settings-Project Parameters	33855	True
ID_SETTINGS_UNITS	Manage-Project Settings-Project Units	32950	True
ID_FILE_EXTERNAL_PARAMETERS	Manage-Project Settings-Shared Parameters	33748	True
ID_TRANSFER_PROJECT_STANDARDS	Manage-Project Settings-Transfer Project Standards	33699	True
ID_PURGE_UNUSED	Manage-Project Settings-Purge Unused	33780	True
ID_GEO_MANAGE_LOCATIONS	Manage-Project Location-Location	33862	True
ID_GEO_ACQUIRE_COORDINATES	Manage-Project Location-Coordinates-Acquire Coordinates	33863	True
