219 categories and their parents:
  Curtain Panels (-2000170), parent <none>
  Reference Planes (-2000530), parent <none>
  Internal Area Load Tags (-2005255), parent <none>
  Detail Item Tags (-2005028), parent <none>
  Generic Model Tags (-2005013), parent <none>
  Pipes (-2008044), parent <none>
  Structural Column Tags (-2005018), parent <none>
  Reference Points (-2000710), parent <none>
  Pipe Fittings (-2008049), parent <none>

747 built-in categories and their corresponding document ones:
  OST_StackedWalls_Obsolete_IdInWrongRange <none>
  OST_MassTags_Obsolete_IdInWrongRange <none>
  OST_MassSurface_Obsolete_IdInWrongRange <none>
  OST_MassFloor_Obsolete_IdInWrongRange <none>
  OST_Mass_Obsolete_IdInWrongRange <none>
  OST_WallRefPlanes_Obsolete_IdInWrongRange <none>
  OST_StickSymbols_Obsolete_IdInWrongRange <none>
  OST_RemovedGridSeg_Obsolete_IdInWrongRange <none>
  OST_CompassSecondaryMonth <none>
  OST_CompassPrimaryMonth <none>
  OST_CompassSectionFilled <none>
  OST_LightLine <none>
  OST_MultiSurface <none>
  OST_SunSurface <none>
  OST_Analemma <none>
  OST_SunsetText <none>
  OST_CompassSection <none>
  OST_CompassOuter <none>
  OST_SunriseText <none>
  OST_CompassInner <none>
  OST_SunPath2 <none>
  OST_SunPath1 <none>
  OST_Sun <none>
  OST_SunStudy <none>
  OST_StructuralTrussStickSymbols --> Stick Symbols (-2009608
  OST_StructuralTrussHiddenLines <none>
  OST_TrussChord --> Chord (-2009606
  OST_TrussWeb --> Web (-2009605
  OST_TrussBottomChordCurve <none>
  OST_TrussTopChordCurve <none>
  OST_TrussVertWebCurve <none>
  OST_TrussDiagWebCurve <none>
  OST_Truss <none>
  OST_MassHiddenLines --> Hidden Lines (-2009532
  OST_CurtaSystemHiddenLines --> Hidden Lines (-2009531
  OST_OBSOLETE_ElemArrayHiddenLines <none>
  OST_EntourageHiddenLines --> Hidden Lines (-2009529
  OST_PlantingHiddenLines --> Hidden Lines (-2009528
  OST_SpecialityEquipmentHiddenLines --> Hidden Lines (-2009527
  OST_TopographyHiddenLines --> Hidden Lines (-2009526
  OST_StructuralFramingSystemHiddenLines --> Hidden Lines (-2009525
  OST_SiteHiddenLines --> Hidden Lines (-2009524
  OST_RoadsHiddenLines --> Hidden Lines (-2009523
  OST_ParkingHiddenLines --> Hidden Lines (-2009522
  OST_PlumbingFixturesHiddenLines --> Hidden Lines (-2009521
  OST_MechanicalEquipmentHiddenLines --> Hidden Lines (-2009520
